+--------------+------------------------------+---+----------+--------+
| Phone number | Name                         | # | Duration | Due    |
+--------------+------------------------------+---+----------+--------+
|(780) 123 4567|Robert Post                   |384|198473.0  |876.97  |
|(780) 123 6789|Nazanin Tahmasebi             |132|64399.0   |288.81  |
|(780) 321 4567|Md Toukir Imam                |363|179532.0  |827.48  |
|(780) 432 1098|Sayem Mohammad Siam           |112|57909.0   |259.66  |
|(780) 492 2860|Osmar Zaiane                  |502|250068.0  |1160.52 |
|(780) 789 0123|Elham Ahmadi                  |259|129370.0  |596.94  |
|(780) 876 5432|Amir Hossein Faghih Dinevari  |129|62552.0   |288.56  |
|(780) 890 7654|Rong Feng                     |245|121726.0  |539.41  |
|(780) 987 6543|Farrukh Ahmed                 |374|190211.0  |883.72  |
2, 7, 74
2, 4, 30
2, 8, 64
2, 1, 16
2, 5, 33
2, 9, 96
2, 6, 26
2, 3, 45
7, 2, 6
7, 4, 12
7, 8, 40
7, 1, 7
7, 5, 4
7, 9, 38
7, 6, 16
7, 3, 9
4, 2, 17
4, 7, 56
4, 8, 53
4, 1, 10
4, 5, 73
4, 9, 94
4, 6, 43
4, 3, 17
8, 2, 6
8, 7, 15
8, 4, 11
8, 1, 20
8, 5, 13
8, 9, 26
8, 6, 18
8, 3, 3
1, 2, 48
1, 7, 85
1, 4, 54
1, 8, 71
1, 5, 54
1, 9, 131
1, 6, 32
1, 3, 27
5, 2, 18
5, 7, 39
5, 4, 28
5, 8, 32
5, 1, 11
5, 9, 65
5, 6, 52
5, 3, 14
9, 2, 33
9, 7, 17
9, 4, 14
9, 8, 20
9, 1, 8
9, 5, 13
9, 6, 13
9, 3, 11
6, 2, 15
6, 7, 71
6, 4, 14
6, 8, 28
6, 1, 10
6, 5, 30
6, 9, 71
6, 3, 6
3, 2, 15
3, 7, 58
3, 4, 52
3, 8, 57
3, 1, 19
3, 5, 37
3, 9, 86
3, 6, 50
